Question,Answer,Article_Number,Type,Difficulty,Themes,Keyword,Clause,Theme
What is Article 173 of the Indian Constitution?,Article 173 is titled 'Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in the Legislature of a State unless he'. 173. Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in...,173,overview,basic,"federal_structure, governance",,,
What is the title of Article 173?,Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in the Legislature of a State unless he,173,title,basic,"federal_structure, governance",,,
Explain Article 173 in detail.,Article 173 (Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in the Legislature of a State unless he) states: 173. Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in th...,173,detailed_explanation,intermediate,"federal_structure, governance",,,
What does clause (b) of Article 173 state?,"is, in the case of a seat in the Legislative Assembly, not less than twenty five years of age and in the case of a seat in the Legislative Council, not less than thirty years of age; and",173,clause_specific,intermediate,"federal_structure, governance",,(b),
Explain clause (b) of Article 173.,"Clause (b) of Article 173 explains: is, in the case of a seat in the Legislative Assembly, not less than twenty five years of age and in the case of a seat in the Legislative Council, not less than thirty years of age; and",173,clause_explanation,advanced,"federal_structure, governance",,(b),
What does clause (c) of Article 173 state?,possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament,173,clause_specific,intermediate,"federal_structure, governance",,(c),
Explain clause (c) of Article 173.,Clause (c) of Article 173 explains: possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament,173,clause_explanation,advanced,"federal_structure, governance",,(c),
What does clause (c) of Article 173 state?,possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament,173,clause_specific,intermediate,"federal_structure, governance",,(c),
Explain clause (c) of Article 173.,Clause (c) of Article 173 explains: possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament,173,clause_explanation,advanced,"federal_structure, governance",,(c),
Which article deals with federal structure in the Indian Constitution?,Article 173 (Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in the Legislature of a State unless he) deals with federal structure.,173,theme_based,intermediate,"federal_structure, governance",,,federal_structure
Which article deals with governance in the Indian Constitution?,Article 173 (Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in the Legislature of a State unless he) deals with governance.,173,theme_based,intermediate,"federal_structure, governance",,,governance
What does the Constitution say about seat?,"According to Article 173 (Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in the Legislature of a State unless he), 173. Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat...",173,keyword_search,intermediate,"federal_structure, governance",seat,,
What does the Constitution say about legislature?,"According to Article 173 (Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in the Legislature of a State unless he), 173. Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat...",173,keyword_search,intermediate,"federal_structure, governance",legislature,,
What does the Constitution say about person?,"According to Article 173 (Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in the Legislature of a State unless he), 173. Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat...",173,keyword_search,intermediate,"federal_structure, governance",person,,
What does the Constitution say about behalf?,"According to Article 173 (Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in the Legislature of a State unless he), 173. Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat...",173,keyword_search,intermediate,"federal_structure, governance",behalf,,
What does the Constitution say about case?,"According to Article 173 (Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in the Legislature of a State unless he), 173. Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat...",173,keyword_search,intermediate,"federal_structure, governance",case,,
What is Article 174 of the Indian Constitution?,"Article 174 is titled 'Sessions of the State Legislature, prorogation and dissolution'. 174. Sessions of the State Legislature, prorogation and dissolution (1) The Governor shall from time to time summon the House or each House of the Legislature of the State to meet at such time and place as he thi...",174,overview,basic,"federal_structure, governance",,,
What is the title of Article 174?,"Sessions of the State Legislature, prorogation and dissolution",174,title,basic,"federal_structure, governance",,,
Explain Article 174 in detail.,"Article 174 (Sessions of the State Legislature, prorogation and dissolution) states: 174. Sessions of the State Legislature, prorogation and dissolution (1) The Governor shall from time to time summon the House or each House of the Legislature of the State to meet at such time and place as he thinks...",174,detailed_explanation,intermediate,"federal_structure, governance",,,
What does clause (a) of Article 174 state?,Prorogue the House or either House;,174,clause_specific,intermediate,"federal_structure, governance",,(a),
Explain clause (a) of Article 174.,Clause (a) of Article 174 explains: Prorogue the House or either House;,174,clause_explanation,advanced,"federal_structure, governance",,(a),
What does clause (b) of Article 174 state?,dissolve the Legislative Assembly,174,clause_specific,intermediate,"federal_structure, governance",,(b),
Explain clause (b) of Article 174.,Clause (b) of Article 174 explains: dissolve the Legislative Assembly,174,clause_explanation,advanced,"federal_structure, governance",,(b),
Which article deals with federal structure in the Indian Constitution?,"Article 174 (Sessions of the State Legislature, prorogation and dissolution) deals with federal structure.",174,theme_based,intermediate,"federal_structure, governance",,,federal_structure
Which article deals with governance in the Indian Constitution?,"Article 174 (Sessions of the State Legislature, prorogation and dissolution) deals with governance.",174,theme_based,intermediate,"federal_structure, governance",,,governance
What does the Constitution say about time?,"According to Article 174 (Sessions of the State Legislature, prorogation and dissolution), 174. Sessions of the State Legislature, prorogation and dissolution (1) The Governor shall from time to time summon the House or each House of the Legislature of the State to meet at such time and pla...",174,keyword_search,intermediate,"federal_structure, governance",time,,
What does the Constitution say about house?,"According to Article 174 (Sessions of the State Legislature, prorogation and dissolution), 174. Sessions of the State Legislature, prorogation and dissolution (1) The Governor shall from time to time summon the House or each House of the Legislature of the State to meet at such time and pla...",174,keyword_search,intermediate,"federal_structure, governance",house,,
What does the Constitution say about legislature?,"According to Article 174 (Sessions of the State Legislature, prorogation and dissolution), 174. Sessions of the State Legislature, prorogation and dissolution (1) The Governor shall from time to time summon the House or each House of the Legislature of the State to meet at such time and pla...",174,keyword_search,intermediate,"federal_structure, governance",legislature,,
What does the Constitution say about governor?,"According to Article 174 (Sessions of the State Legislature, prorogation and dissolution), 174. Sessions of the State Legislature, prorogation and dissolution (1) The Governor shall from time to time summon the House or each House of the Legislature of the State to meet at such time and pla...",174,keyword_search,intermediate,"federal_structure, governance",governor,,
What does the Constitution say about sitting?,"According to Article 174 (Sessions of the State Legislature, prorogation and dissolution), 174. Sessions of the State Legislature, prorogation and dissolution (1) The Governor shall from time to time summon the House or each House of the Legislature of the State to meet at such time and pla...",174,keyword_search,intermediate,"federal_structure, governance",sitting,,
What is Article 175 of the Indian Constitution?,"Article 175 is titled 'Right of Governor to address and send messages to the House or Houses'. 175. Right of Governor to address and send messages to the House or Houses (1) The Governor may address the Legislative Assembly or, in the case of a State having a Legislative Council, either House of the...",175,overview,basic,"fundamental_rights, federal_structure, governance",,,
What is the title of Article 175?,Right of Governor to address and send messages to the House or Houses,175,title,basic,"fundamental_rights, federal_structure, governance",,,
Explain Article 175 in detail.,"Article 175 (Right of Governor to address and send messages to the House or Houses) states: 175. Right of Governor to address and send messages to the House or Houses (1) The Governor may address the Legislative Assembly or, in the case of a State having a Legislative Council, either House of the Le...",175,detailed_explanation,intermediate,"fundamental_rights, federal_structure, governance",,,
What does clause (2) of Article 175 state?,"The Governor may sent messages to the House or Houses of the Legislature of the State, whether with respect to a Bill then pending in the Legislature or otherwise, and a House to which any message is so sent shall with all convenient dispatch consider any matter required by the message to be taken i...",175,clause_specific,intermediate,"fundamental_rights, federal_structure, governance",,(2),
Explain clause (2) of Article 175.,"Clause (2) of Article 175 explains: The Governor may sent messages to the House or Houses of the Legislature of the State, whether with respect to a Bill then pending in the Legislature or otherwise, and a House to which any message is so sent shall with all convenient dispatch consider any matter r...",175,clause_explanation,advanced,"fundamental_rights, federal_structure, governance",,(2),
Which article deals with fundamental rights in the Indian Constitution?,Article 175 (Right of Governor to address and send messages to the House or Houses) deals with fundamental rights.,175,theme_based,intermediate,"fundamental_rights, federal_structure, governance",,,fundamental_rights
Which article deals with federal structure in the Indian Constitution?,Article 175 (Right of Governor to address and send messages to the House or Houses) deals with federal structure.,175,theme_based,intermediate,"fundamental_rights, federal_structure, governance",,,federal_structure
Which article deals with governance in the Indian Constitution?,Article 175 (Right of Governor to address and send messages to the House or Houses) deals with governance.,175,theme_based,intermediate,"fundamental_rights, federal_structure, governance",,,governance
What does the Constitution say about house?,"According to Article 175 (Right of Governor to address and send messages to the House or Houses), 175. Right of Governor to address and send messages to the House or Houses (1) The Governor may address the Legislative Assembly or, in the case of a State having a Legislative Council, either House o.....",175,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",house,,
What does the Constitution say about governor?,"According to Article 175 (Right of Governor to address and send messages to the House or Houses), 175. Right of Governor to address and send messages to the House or Houses (1) The Governor may address the Legislative Assembly or, in the case of a State having a Legislative Council, either House o.....",175,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",governor,,
What does the Constitution say about houses?,"According to Article 175 (Right of Governor to address and send messages to the House or Houses), 175. Right of Governor to address and send messages to the House or Houses (1) The Governor may address the Legislative Assembly or, in the case of a State having a Legislative Council, either House o.....",175,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",houses,,
What does the Constitution say about legislature?,"According to Article 175 (Right of Governor to address and send messages to the House or Houses), 175. Right of Governor to address and send messages to the House or Houses (1) The Governor may address the Legislative Assembly or, in the case of a State having a Legislative Council, either House o.....",175,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",legislature,,
What does the Constitution say about address?,"According to Article 175 (Right of Governor to address and send messages to the House or Houses), 175. Right of Governor to address and send messages to the House or Houses (1) The Governor may address the Legislative Assembly or, in the case of a State having a Legislative Council, either House o.....",175,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",address,,
What is Article 176 of the Indian Constitution?,"Article 176 is titled 'Special address by the Governor'. 176. Special address by the Governor (1) At the commencement of the first session after each general election to the Legislative Assembly and at the commencement of the first session of each year, the Governor shall address the Legislative Ass...",176,overview,basic,"federal_structure, governance",,,
What is the title of Article 176?,Special address by the Governor,176,title,basic,"federal_structure, governance",,,
Explain Article 176 in detail.,"Article 176 (Special address by the Governor) states: 176. Special address by the Governor (1) At the commencement of the first session after each general election to the Legislative Assembly and at the commencement of the first session of each year, the Governor shall address the Legislative Assemb...",176,detailed_explanation,intermediate,"federal_structure, governance",,,
What does clause (2) of Article 176 state?,Provision shall be made by the rules regulating the procedure of the House or either House for the allotment of time for discussion of the matters referred to in such address,176,clause_specific,intermediate,"federal_structure, governance",,(2),
Explain clause (2) of Article 176.,Clause (2) of Article 176 explains: Provision shall be made by the rules regulating the procedure of the House or either House for the allotment of time for discussion of the matters referred to in such address,176,clause_explanation,advanced,"federal_structure, governance",,(2),
Which article deals with federal structure in the Indian Constitution?,Article 176 (Special address by the Governor) deals with federal structure.,176,theme_based,intermediate,"federal_structure, governance",,,federal_structure
Which article deals with governance in the Indian Constitution?,Article 176 (Special address by the Governor) deals with governance.,176,theme_based,intermediate,"federal_structure, governance",,,governance
What does the Constitution say about address?,"According to Article 176 (Special address by the Governor), 176. Special address by the Governor (1) At the commencement of the first session after each general election to the Legislative Assembly and at the commencement of the first session of each year, the...",176,keyword_search,intermediate,"federal_structure, governance",address,,
What does the Constitution say about legislative?,"According to Article 176 (Special address by the Governor), 176. Special address by the Governor (1) At the commencement of the first session after each general election to the Legislative Assembly and at the commencement of the first session of each year, the...",176,keyword_search,intermediate,"federal_structure, governance",legislative,,
What does the Constitution say about house?,"According to Article 176 (Special address by the Governor), 176. Special address by the Governor (1) At the commencement of the first session after each general election to the Legislative Assembly and at the commencement of the first session of each year, the...",176,keyword_search,intermediate,"federal_structure, governance",house,,
What does the Constitution say about governor?,"According to Article 176 (Special address by the Governor), 176. Special address by the Governor (1) At the commencement of the first session after each general election to the Legislative Assembly and at the commencement of the first session of each year, the...",176,keyword_search,intermediate,"federal_structure, governance",governor,,
What does the Constitution say about commencement?,"According to Article 176 (Special address by the Governor), 176. Special address by the Governor (1) At the commencement of the first session after each general election to the Legislative Assembly and at the commencement of the first session of each year, the...",176,keyword_search,intermediate,"federal_structure, governance",commencement,,
What is Article 177 of the Indian Constitution?,"Article 177 is titled 'Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall have the right to speak in,'. 177. Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shal...",177,overview,basic,"fundamental_rights, federal_structure, governance",,,
What is the title of Article 177?,"Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall have the right to speak in,",177,title,basic,"fundamental_rights, federal_structure, governance",,,
Explain Article 177 in detail.,"Article 177 (Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall have the right to speak in,) states: 177. Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall h...",177,detailed_explanation,intermediate,"fundamental_rights, federal_structure, governance",,,
Which article deals with fundamental rights in the Indian Constitution?,"Article 177 (Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall have the right to speak in,) deals with fundamental rights.",177,theme_based,intermediate,"fundamental_rights, federal_structure, governance",,,fundamental_rights
Which article deals with federal structure in the Indian Constitution?,"Article 177 (Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall have the right to speak in,) deals with federal structure.",177,theme_based,intermediate,"fundamental_rights, federal_structure, governance",,,federal_structure
Which article deals with governance in the Indian Constitution?,"Article 177 (Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall have the right to speak in,) deals with governance.",177,theme_based,intermediate,"fundamental_rights, federal_structure, governance",,,governance
What does the Constitution say about advocate?,"According to Article 177 (Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall have the right to speak in,), 177. Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State s...",177,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",advocate,,
What does the Constitution say about general?,"According to Article 177 (Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall have the right to speak in,), 177. Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State s...",177,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",general,,
What does the Constitution say about houses?,"According to Article 177 (Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall have the right to speak in,), 177. Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State s...",177,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",houses,,
What does the Constitution say about speak?,"According to Article 177 (Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall have the right to speak in,), 177. Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State s...",177,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",speak,,
What does the Constitution say about otherwise?,"According to Article 177 (Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall have the right to speak in,), 177. Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State s...",177,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",otherwise,,
What is Article 178 of the Indian Constitution?,"Article 178 is titled 'The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may be, choose two members of the A'. 178. The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may ...",178,overview,basic,"federal_structure, governance",,,
What is the title of Article 178?,"The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may be, choose two members of the A",178,title,basic,"federal_structure, governance",,,
Explain Article 178 in detail.,"Article 178 (The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may be, choose two members of the A) states: 178. The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may be,...",178,detailed_explanation,intermediate,"federal_structure, governance",,,
Which article deals with federal structure in the Indian Constitution?,"Article 178 (The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may be, choose two members of the A) deals with federal structure.",178,theme_based,intermediate,"federal_structure, governance",,,federal_structure
Which article deals with governance in the Indian Constitution?,"Article 178 (The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may be, choose two members of the A) deals with governance.",178,theme_based,intermediate,"federal_structure, governance",,,governance
What does the Constitution say about speaker?,"According to Article 178 (The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may be, choose two members of the A), 178. The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as m...",178,keyword_search,intermediate,"federal_structure, governance",speaker,,
What does the Constitution say about deputy?,"According to Article 178 (The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may be, choose two members of the A), 178. The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as m...",178,keyword_search,intermediate,"federal_structure, governance",deputy,,
What does the Constitution say about assembly?,"According to Article 178 (The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may be, choose two members of the A), 178. The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as m...",178,keyword_search,intermediate,"federal_structure, governance",assembly,,
What does the Constitution say about legislative?,"According to Article 178 (The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may be, choose two members of the A), 178. The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as m...",178,keyword_search,intermediate,"federal_structure, governance",legislative,,
What does the Constitution say about choose?,"According to Article 178 (The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may be, choose two members of the A), 178. The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as m...",178,keyword_search,intermediate,"federal_structure, governance",choose,,
What is Article 179 of the Indian Constitution?,"Article 179 is titled 'Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of an Assembly'. 179. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office ...",179,overview,basic,,,,
What is the title of Article 179?,"Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of an Assembly",179,title,basic,,,,
Explain Article 179 in detail.,"Article 179 (Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of an Assembly) states: 179. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as ...",179,detailed_explanation,intermediate,,,,
What does clause (b) of Article 179 state?,"may at any time by writing under his hand addressed, if such member is the Speaker, to the Deputy Speaker, and if such member is the Deputy Speaker, to the Speaker, resign his office; and Provided that no resolution for the purpose of clause",179,clause_specific,intermediate,,,(b),
Explain clause (b) of Article 179.,"Clause (b) of Article 179 explains: may at any time by writing under his hand addressed, if such member is the Speaker, to the Deputy Speaker, and if such member is the Deputy Speaker, to the Speaker, resign his office; and Provided that no resolution for the purpose of clause",179,clause_explanation,advanced,,,(b),
What does clause (c) of Article 179 state?,"shall be moved unless at least fourteen days notice has been given of the intention to move the resolution: Provided further that, whenever the Assembly is dissolved, the Speaker shall not vacate his office until immediately before the first meeting of the Assembly after the dissolution",179,clause_specific,intermediate,,,(c),
Explain clause (c) of Article 179.,"Clause (c) of Article 179 explains: shall be moved unless at least fourteen days notice has been given of the intention to move the resolution: Provided further that, whenever the Assembly is dissolved, the Speaker shall not vacate his office until immediately before the first meeting of the Assembl...",179,clause_explanation,advanced,,,(c),
What does clause (c) of Article 179 state?,"shall be moved unless at least fourteen days notice has been given of the intention to move the resolution: Provided further that, whenever the Assembly is dissolved, the Speaker shall not vacate his office until immediately before the first meeting of the Assembly after the dissolution",179,clause_specific,intermediate,,,(c),
Explain clause (c) of Article 179.,"Clause (c) of Article 179 explains: shall be moved unless at least fourteen days notice has been given of the intention to move the resolution: Provided further that, whenever the Assembly is dissolved, the Speaker shall not vacate his office until immediately before the first meeting of the Assembl...",179,clause_explanation,advanced,,,(c),
What does the Constitution say about speaker?,"According to Article 179 (Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of an Assembly), 179. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding offi...",179,keyword_search,intermediate,,speaker,,
What does the Constitution say about deputy?,"According to Article 179 (Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of an Assembly), 179. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding offi...",179,keyword_search,intermediate,,deputy,,
What does the Constitution say about member?,"According to Article 179 (Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of an Assembly), 179. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding offi...",179,keyword_search,intermediate,,member,,
What does the Constitution say about office?,"According to Article 179 (Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of an Assembly), 179. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding offi...",179,keyword_search,intermediate,,office,,
What does the Constitution say about assembly?,"According to Article 179 (Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of an Assembly), 179. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding offi...",179,keyword_search,intermediate,,assembly,,
What is Article 180 of the Indian Constitution?,"Article 180 is titled 'Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker'. 180. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties of t...",180,overview,basic,governance,,,
What is the title of Article 180?,"Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker",180,title,basic,governance,,,
Explain Article 180 in detail.,"Article 180 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker) states: 180. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties of the ...",180,detailed_explanation,intermediate,governance,,,
What does clause (2) of Article 180 state?,"During the absence of the Speaker from any sitting of the Assembly the Deputy Speaker or, if he is also absent, such person as may be determined by the rules of procedure of the assembly, or, if no such person is present, such other person as may be determined by the Assembly, shall act as Speaker",180,clause_specific,intermediate,governance,,(2),
Explain clause (2) of Article 180.,"Clause (2) of Article 180 explains: During the absence of the Speaker from any sitting of the Assembly the Deputy Speaker or, if he is also absent, such person as may be determined by the rules of procedure of the assembly, or, if no such person is present, such other person as may be determined by ...",180,clause_explanation,advanced,governance,,(2),
Which article deals with governance in the Indian Constitution?,"Article 180 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker) deals with governance.",180,theme_based,intermediate,governance,,,governance
What does the Constitution say about speaker?,"According to Article 180 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker), 180. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties o...",180,keyword_search,intermediate,governance,speaker,,
What does the Constitution say about deputy?,"According to Article 180 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker), 180. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties o...",180,keyword_search,intermediate,governance,deputy,,
What does the Constitution say about person?,"According to Article 180 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker), 180. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties o...",180,keyword_search,intermediate,governance,person,,
What does the Constitution say about office?,"According to Article 180 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker), 180. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties o...",180,keyword_search,intermediate,governance,office,,
What does the Constitution say about assembly?,"According to Article 180 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker), 180. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties o...",180,keyword_search,intermediate,governance,assembly,,
What is Article 181 of the Indian Constitution?,Article 181 is titled 'The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration'. 181. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the Legisl...,181,overview,basic,"fundamental_rights, governance",,,
What is the title of Article 181?,The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration,181,title,basic,"fundamental_rights, governance",,,
Explain Article 181 in detail.,Article 181 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration) states: 181. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the Legislati...,181,detailed_explanation,intermediate,"fundamental_rights, governance",,,
What does clause (2) of Article 181 state?,"The Speaker shall have the right to speak in, and otherwise to take part in the proceedings of, the Legislative Assembly while any resolution for his removal from office is under consideration in the Assembly and shall, notwithstanding anything in Article 189, be entitled to vote only in the first i...",181,clause_specific,intermediate,"fundamental_rights, governance",,(2),
Explain clause (2) of Article 181.,"Clause (2) of Article 181 explains: The Speaker shall have the right to speak in, and otherwise to take part in the proceedings of, the Legislative Assembly while any resolution for his removal from office is under consideration in the Assembly and shall, notwithstanding anything in Article 189, be ...",181,clause_explanation,advanced,"fundamental_rights, governance",,(2),
Which article deals with fundamental rights in the Indian Constitution?,Article 181 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration) deals with fundamental rights.,181,theme_based,intermediate,"fundamental_rights, governance",,,fundamental_rights
Which article deals with governance in the Indian Constitution?,Article 181 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration) deals with governance.,181,theme_based,intermediate,"fundamental_rights, governance",,,governance
What does the Constitution say about speaker?,"According to Article 181 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration), 181. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the Leg...",181,keyword_search,intermediate,"fundamental_rights, governance",speaker,,
What does the Constitution say about resolution?,"According to Article 181 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration), 181. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the Leg...",181,keyword_search,intermediate,"fundamental_rights, governance",resolution,,
What does the Constitution say about deputy?,"According to Article 181 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration), 181. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the Leg...",181,keyword_search,intermediate,"fundamental_rights, governance",deputy,,
What does the Constitution say about removal?,"According to Article 181 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration), 181. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the Leg...",181,keyword_search,intermediate,"fundamental_rights, governance",removal,,
What does the Constitution say about office?,"According to Article 181 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration), 181. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the Leg...",181,keyword_search,intermediate,"fundamental_rights, governance",office,,
What is Article 182 of the Indian Constitution?,"Article 182 is titled 'The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council shall, as soon as may be, choos'. 182. The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council ...",182,overview,basic,"federal_structure, governance",,,
